"V1","V2"
1000,0
3000,0
5000,0
7000,0
9000,0
11000,0
13000,0
15000,0
17000,0
19000,0
21000,0
23000,0
25000,0
27000,0
29000,0
31000,0
33000,1.66666666666667e-09
35000,1.66666666666667e-09
37000,0
39000,3.33333333333333e-09
41000,8.33333333333333e-09
43000,2.83333333333333e-08
45000,4.33333333333333e-08
47000,9.33333333333333e-08
49000,1.91666666666667e-07
51000,2.91666666666667e-07
53000,5.81666666666667e-07
55000,8.98333333333333e-07
57000,1.38833333333333e-06
59000,2.04e-06
61000,2.98833333333333e-06
63000,4.14e-06
65000,5.31666666666667e-06
67000,6.87666666666667e-06
69000,8.36666666666667e-06
71000,1.01066666666667e-05
73000,1.18916666666667e-05
75000,1.292e-05
77000,1.44966666666667e-05
79000,1.60166666666667e-05
81000,1.735e-05
83000,1.817e-05
85000,1.87316666666667e-05
87000,1.952e-05
89000,2.00216666666667e-05
91000,2.04383333333333e-05
93000,2.02516666666667e-05
95000,2.02266666666667e-05
97000,1.99433333333333e-05
99000,1.9825e-05
101000,1.89466666666667e-05
103000,1.82566666666667e-05
105000,1.72083333333333e-05
107000,1.61233333333333e-05
109000,1.503e-05
111000,1.40866666666667e-05
113000,1.30283333333333e-05
115000,1.16616666666667e-05
117000,1.05583333333333e-05
119000,9.55333333333333e-06
121000,8.49833333333333e-06
123000,7.68666666666667e-06
125000,6.54333333333333e-06
127000,5.59833333333333e-06
129000,5.05166666666667e-06
131000,4.45166666666667e-06
133000,3.67833333333333e-06
135000,3.33666666666667e-06
137000,2.72e-06
139000,2.39e-06
141000,1.97333333333333e-06
143000,1.725e-06
145000,1.40333333333333e-06
147000,1.14e-06
149000,1.02666666666667e-06
151000,7.56666666666667e-07
153000,7.76666666666667e-07
155000,5.61666666666667e-07
157000,4.68333333333333e-07
159000,3.93333333333333e-07
161000,3.95e-07
163000,2.65e-07
165000,2.9e-07
167000,1.76666666666667e-07
169000,1.7e-07
171000,1.4e-07
173000,1.23333333333333e-07
175000,1e-07
177000,7e-08
179000,7.33333333333333e-08
181000,5e-08
183000,5.83333333333333e-08
185000,5.5e-08
187000,3e-08
189000,3.5e-08
191000,2.33333333333333e-08
193000,3e-08
195000,8.33333333333333e-09
197000,1.5e-08
199000,1.5e-08
224991.014466228,2.93438801503765e-09
