"V1","V2"
1000,0
3000,0
5000,0
7000,0
9000,0
11000,0
13000,0
15000,0
17000,0
19000,0
21000,0
23000,0
25000,1.66666666666667e-09
27000,5e-09
29000,1.5e-08
31000,4.16666666666667e-08
33000,8.5e-08
35000,1.58333333333333e-07
37000,2.7e-07
39000,4.81666666666667e-07
41000,8.2e-07
43000,1.295e-06
45000,1.925e-06
47000,2.835e-06
49000,4.04833333333333e-06
51000,5.51833333333333e-06
53000,6.93666666666667e-06
55000,8.40166666666667e-06
57000,1.02916666666667e-05
59000,1.17833333333333e-05
61000,1.3535e-05
63000,1.492e-05
65000,1.63066666666667e-05
67000,1.70866666666667e-05
69000,1.81483333333333e-05
71000,1.907e-05
73000,2.00766666666667e-05
75000,2.02016666666667e-05
77000,2.08216666666667e-05
79000,2.06583333333333e-05
81000,2.02383333333333e-05
83000,1.97966666666667e-05
85000,1.9535e-05
87000,1.894e-05
89000,1.78883333333333e-05
91000,1.70216666666667e-05
93000,1.625e-05
95000,1.48683333333333e-05
97000,1.39333333333333e-05
99000,1.27316666666667e-05
101000,1.15016666666667e-05
103000,1.039e-05
105000,9.18666666666667e-06
107000,8.35e-06
109000,7.3e-06
111000,6.71333333333333e-06
113000,5.665e-06
115000,5.035e-06
117000,4.26333333333333e-06
119000,3.675e-06
121000,3.145e-06
123000,2.795e-06
125000,2.29666666666667e-06
127000,1.95666666666667e-06
129000,1.69666666666667e-06
131000,1.475e-06
133000,1.20833333333333e-06
135000,9.86666666666667e-07
137000,9e-07
139000,6.68333333333333e-07
141000,6.45e-07
143000,4.85e-07
145000,4.5e-07
147000,3.73333333333333e-07
149000,3e-07
151000,2.3e-07
153000,2.23333333333333e-07
155000,1.66666666666667e-07
157000,1.41666666666667e-07
159000,1.33333333333333e-07
161000,1.25e-07
163000,1.16666666666667e-07
165000,7.16666666666667e-08
167000,6.5e-08
169000,4.16666666666667e-08
171000,4.33333333333333e-08
173000,3.33333333333333e-08
175000,3e-08
177000,2.5e-08
179000,2.16666666666667e-08
181000,1.83333333333333e-08
183000,2.16666666666667e-08
185000,1.5e-08
187000,1.33333333333333e-08
189000,1e-08
191000,6.66666666666667e-09
193000,6.66666666666667e-09
195000,6.66666666666667e-09
197000,8.33333333333333e-09
199000,1.66666666666667e-09
211441.545179371,1.74801564705269e-09
