"V1","V2"
0.025,0
0.075,0
0.125,0.000333333333333333
0.175,0.000933333333333334
0.225,0.00306666666666667
0.275,0.00593333333333333
0.325,0.017
0.375,0.0338666666666667
0.425,0.0706
0.475,0.125066666666667
0.525,0.221533333333333
0.575,0.360866666666666
0.625,0.531933333333334
0.675,0.769599999999999
0.725,1.04906666666667
0.775,1.3436
0.825,1.5988
0.875,1.83246666666667
0.925,1.94586666666667
0.975,1.92166666666667
1.025,1.8406
1.075,1.61486666666667
1.125,1.34266666666667
1.175,1.05206666666667
1.225,0.786800000000003
1.275,0.566
1.325,0.376266666666666
1.375,0.245
1.425,0.148133333333333
1.475,0.0893333333333337
1.525,0.0513333333333333
1.575,0.0264
1.625,0.0148666666666667
1.675,0.00713333333333333
1.725,0.00346666666666668
1.775,0.00126666666666667
1.825,0.000799999999999999
1.875,0.000333333333333333
1.925,0.000333333333333333
1.975,0
2.025,6.66666666666663e-05
2.075,0
2.125,0
2.175,0
2.225,6.66666666666669e-05
2.275,0
2.3097273094407,0
2.3347273094407,0
2.375,0
2.425,0
2.475,0
2.525,0
2.575,0
2.625,0
2.675,0
2.725,0
2.775,0
2.825,0
2.875,0
2.925,0
2.975,0
3.025,0
3.075,0
3.125,0
3.175,0
3.225,0
3.275,0
3.325,0
3.375,0
3.425,0
3.475,0
3.525,0
3.575,0
3.625,0
3.675,0
3.725,0
3.775,0
3.825,0
3.875,0
3.925,0
3.975,0
4.025,0
4.075,0
4.125,0
4.175,0
4.225,0
4.275,0
4.325,0
4.375,0
4.425,0
4.475,0
4.525,0
4.575,0
4.625,0
4.675,0
4.725,0
4.775,0
4.825,0
4.875,0
4.925,0
4.975,0
5.025,0
5.075,0
5.125,0
5.175,0
5.225,0
5.275,0
5.325,0
5.375,0
5.425,0
5.475,0
5.525,0
5.575,0
5.625,0
5.675,0
5.725,0
5.775,0
5.825,0
5.875,0
5.925,0
5.975,0
6.025,0
6.075,0
6.125,0
6.175,0
6.225,0
6.275,0
6.325,0
6.375,0
6.425,0
6.475,0
6.525,0
6.575,0
6.625,0
6.675,0
6.725,0
6.775,0
6.825,0
6.875,0
6.925,0
6.975,0
7.025,0
7.075,0
7.125,0
7.175,0
7.225,0
7.275,0
7.325,0
7.375,0
7.425,0
7.475,0
7.525,0
7.575,0
7.625,0
7.675,0
7.725,0
7.775,0
7.825,0
7.875,0
7.925,0
7.975,0
8.025,0
8.075,0
8.125,0
8.175,0
8.225,0
8.275,0
8.325,0
8.375,0
8.425,0
8.475,0
8.525,0
8.575,0
8.625,0
8.675,0
8.725,0
8.775,0
8.825,0
8.875,0
8.925,0
8.975,0
9.025,0
9.075,0
9.125,0
9.175,0
9.225,0
9.275,0
9.325,0
9.375,0
9.425,0
9.475,0
9.525,0
9.575,0
9.625,0
9.675,0
9.725,0
9.775,0
9.825,0
9.875,0
9.925,0
9.975,0
10.025,0
10.075,0
10.125,0
10.175,0
10.225,0
10.275,0
10.325,0
10.375,0
10.425,0
10.475,0
10.525,0
10.575,0
10.625,0
10.675,0
10.725,0
10.775,0
10.825,0
10.875,0
10.925,0
10.975,0
11.025,0
11.075,0
11.125,0
11.175,0
11.225,0
11.275,0
11.325,0
11.375,0
11.425,0
11.475,0
11.525,0
11.575,0
11.625,0
11.675,0
11.725,0
11.775,0
11.825,0
11.875,0
11.925,0
11.975,0
12.025,0
12.075,0
12.125,0
12.175,0
12.225,0
12.275,0
12.325,0
12.375,0
12.425,0
12.475,0
12.525,0
12.575,0
12.625,0
12.675,0
12.725,0
12.775,0
12.825,0
12.875,0
12.925,0
12.975,0
13.025,0
13.075,0
13.125,0
13.175,0
13.225,0
13.275,0
13.325,0
13.375,0
13.425,0
13.475,0
13.525,0
13.575,0
13.625,0
13.675,0
13.725,0
13.775,0
13.825,0
13.875,0
13.925,0
13.975,0
14.025,0
14.075,0
14.125,0
14.175,0
14.225,0
14.275,0
14.325,0
14.375,0
14.425,0
14.475,0
14.525,0
14.575,0
14.625,0
14.675,0
14.725,0
14.775,0
14.825,0
14.875,0
14.925,0
14.975,0
15.025,0
15.075,0
15.125,0
15.175,0
15.225,0
15.275,0
15.325,0
15.375,0
15.425,0
15.475,0
15.525,0
15.575,0
15.625,0
15.675,0
15.725,0
15.775,0
15.825,0
15.875,0
15.925,0
15.975,0
16.025,0
16.075,0
16.125,0
16.175,0
16.225,0
16.275,0
16.325,0
16.375,0
16.425,0
16.475,0
16.525,0
16.575,0
16.625,0
16.675,0
16.725,0
16.775,0
16.825,0
16.875,0
16.925,0
16.975,0
17.025,0
17.075,0
17.125,0
17.175,0
17.225,0
17.275,0
17.325,0
17.375,0
17.425,0
17.475,0
17.525,0
17.575,0
17.625,0
17.675,0
17.725,0
17.775,0
17.825,0
17.875,0
17.925,0
17.975,0
18.025,0
18.075,0
18.125,0
18.175,0
18.225,0
18.275,0
18.325,0
18.375,0
18.425,0
18.475,0
18.525,0
18.575,0
18.625,0
18.675,0
18.725,0
18.775,0
18.825,0
18.875,0
18.925,0
18.975,0
19.025,0
19.075,0
19.125,0
19.175,0
19.225,0
19.275,0
19.325,0
19.375,0
19.425,0
19.475,0
19.525,0
19.575,0
19.625,0
19.675,0
19.725,0
19.775,0
19.825,0
19.875,0
19.925,0
19.975,0
20.025,0
20.075,0
20.125,0
20.175,0
20.225,0
20.275,0
20.325,0
20.375,0
20.425,0
20.475,0
20.525,0
20.575,0
20.625,0
20.675,0
20.725,0
20.775,0
20.825,0
20.875,0
20.925,0
20.975,0
21.025,0
21.075,0
21.125,0
21.175,0
21.225,0
21.275,0
21.325,0
21.375,0
21.425,0
21.475,0
21.525,0
21.575,0
21.625,0
21.675,0
21.725,0
21.775,0
21.825,0
21.875,0
21.925,0
21.975,0
22.025,0
22.075,0
22.125,0
22.175,0
22.225,0
22.275,0
22.325,0
22.375,0
22.425,0
22.475,0
22.525,0
22.575,0
22.625,0
22.675,0
22.725,0
22.775,0
22.825,0
22.875,0
22.925,0
22.975,0
23.025,0
23.075,0
23.125,0
23.175,0
23.225,0
23.275,0
23.325,0
23.375,0
23.425,0
23.475,0
23.525,0
23.575,0
23.625,0
23.675,0
23.725,0
23.775,0
23.825,0
23.875,0
23.925,0
23.975,0
24.025,0
24.075,0
24.125,0
24.175,0
24.225,0
24.275,0
24.325,0
24.375,0
24.425,0
24.475,0
24.525,0
24.575,0
24.625,0
24.675,0
24.725,0
24.775,0
24.825,0
24.875,0
24.925,0
24.975,0
